position_id,symbol,direction,quantity,entry_price,entry_time,exit_price,exit_time,is_open,pnl,realized_pnl,unrealized_pnl,exit_reason,stop_loss,take_profit,order_id
GBPUSD_20240108000000_LONG,GBPUSD,LONG,1.0,1.27164,2024-01-08,1.27459,2024-01-09,False,0.002949999999999786,0.002949999999999786,0.0,TRADE,,,
GBPUSD_20240114000000_LONG,GBPUSD,LONG,1.0,1.27441,2024-01-14,1.27326,2024-01-15,False,-0.0011499999999999844,-0.0011499999999999844,0.0,TRADE,,,
GBPUSD_20240121000000_LONG,GBPUSD,LONG,1.0,1.26968,2024-01-21,1.27087,2024-01-23,False,0.0011900000000000244,0.0011900000000000244,0.0,TRADE,,,
GBPUSD_20240124000000_LONG,GBPUSD,LONG,1.0,1.26943,2024-01-24,1.2698,2024-01-31,False,0.00036999999999998145,0.00036999999999998145,0.0,TRADE,,,
GBPUSD_20240209000000_LONG,GBPUSD,LONG,1.0,1.26198,2024-02-09,1.26636,2024-02-23,False,0.0043799999999998285,0.0043799999999998285,0.0,TRADE,,,
GBPUSD_20240227000000_LONG,GBPUSD,LONG,1.0,1.26836,2024-02-27,1.26791,2024-02-28,False,-0.0004499999999998394,-0.0004499999999998394,0.0,TRADE,,,
GBPUSD_20240229000000_LONG,GBPUSD,LONG,1.0,1.26604,2024-02-29,1.26255,2024-03-01,False,-0.003489999999999993,-0.003489999999999993,0.0,TRADE,,,
GBPUSD_20240304000000_LONG,GBPUSD,LONG,1.0,1.26605,2024-03-04,1.26917,2024-03-05,False,0.0031200000000000117,0.0031200000000000117,0.0,TRADE,,,
GBPUSD_20240311000000_LONG,GBPUSD,LONG,1.0,1.28546,2024-03-11,1.28191,2024-03-12,False,-0.003549999999999942,-0.003549999999999942,0.0,TRADE,,,
GBPUSD_20240317000000_LONG,GBPUSD,LONG,1.0,1.27321,2024-03-17,1.27158,2024-03-20,False,-0.0016300000000000203,-0.0016300000000000203,0.0,TRADE,,,
GBPUSD_20240327000000_LONG,GBPUSD,LONG,1.0,1.26259,2024-03-27,1.26153,2024-03-28,False,-0.001060000000000061,-0.001060000000000061,0.0,TRADE,,,
GBPUSD_20240329000000_LONG,GBPUSD,LONG,1.0,1.26216,2024-03-29,1.26524,2024-04-04,False,0.0030799999999999716,0.0030799999999999716,0.0,TRADE,,,
GBPUSD_20240407000000_LONG,GBPUSD,LONG,1.0,1.26292,2024-04-07,1.26192,2024-04-08,False,-0.001000000000000112,-0.001000000000000112,0.0,TRADE,,,
GBPUSD_20240414000000_LONG,GBPUSD,LONG,1.0,1.24432,2024-04-14,1.24568,2024-04-15,False,0.0013599999999998058,0.0013599999999998058,0.0,TRADE,,,
GBPUSD_20240417000000_LONG,GBPUSD,LONG,1.0,1.2428922,2024-04-17,1.24357,2024-04-19,False,0.0006778000000000617,0.0006778000000000617,0.0,TRADE,,,
GBPUSD_20240421000000_LONG,GBPUSD,LONG,1.0,1.2428922,2024-04-21,1.24527,2024-04-24,False,0.0023778000000000965,0.0023778000000000965,0.0,TRADE,,,
GBPUSD_20240428000000_LONG,GBPUSD,LONG,1.0,1.24863,2024-04-28,1.25121,2024-04-29,False,0.0025800000000000267,0.0025800000000000267,0.0,TRADE,,,
GBPUSD_20240510000000_LONG,GBPUSD,LONG,1.0,1.25239,2024-05-10,1.25216,2024-05-13,False,-0.00022999999999995246,-0.00022999999999995246,0.0,TRADE,,,
GBPUSD_20240521000000_LONG,GBPUSD,LONG,1.0,1.27083,2024-05-21,1.2712,2024-05-22,False,0.0003700000000002035,0.0003700000000002035,0.0,TRADE,,,
GBPUSD_20240602000000_LONG,GBPUSD,LONG,1.0,1.27405,2024-06-02,1.28158,2024-06-04,False,0.007530000000000037,0.007530000000000037,0.0,TRADE,,,
GBPUSD_20240606000000_LONG,GBPUSD,LONG,1.0,1.2795,2024-06-06,1.27914,2024-06-07,False,-0.000360000000000138,-0.000360000000000138,0.0,TRADE,,,
GBPUSD_20240612000000_LONG,GBPUSD,LONG,1.0,1.2738,2024-06-12,1.27964,2024-06-13,False,0.005840000000000067,0.005840000000000067,0.0,TRADE,,,
GBPUSD_20240617000000_LONG,GBPUSD,LONG,1.0,1.26822,2024-06-17,1.27141,2024-06-18,False,0.003190000000000026,0.003190000000000026,0.0,TRADE,,,
GBPUSD_20240623000000_LONG,GBPUSD,LONG,1.0,1.26403,2024-06-23,1.26852,2024-06-25,False,0.004490000000000105,0.004490000000000105,0.0,TRADE,,,
GBPUSD_20240627000000_LONG,GBPUSD,LONG,1.0,1.26205,2024-06-27,1.26445,2024-06-28,False,0.0024000000000001798,0.0024000000000001798,0.0,TRADE,,,
GBPUSD_20240702000000_LONG,GBPUSD,LONG,1.0,1.26456,2024-07-02,1.27496,2024-07-04,False,0.010400000000000187,0.010400000000000187,0.0,TRADE,,,
GBPUSD_20240707000000_LONG,GBPUSD,LONG,1.0,1.27985,2024-07-07,1.2807,2024-07-08,False,0.0008500000000000174,0.0008500000000000174,0.0,TRADE,,,
GBPUSD_20240710000000_LONG,GBPUSD,LONG,1.0,1.27877,2024-07-10,1.28548,2024-07-11,False,0.006709999999999994,0.006709999999999994,0.0,TRADE,,,
GBPUSD_20240714000000_LONG,GBPUSD,LONG,1.0,1.29721,2024-07-14,1.29758,2024-07-17,False,0.00036999999999998145,0.00036999999999998145,0.0,TRADE,,,
GBPUSD_20240728000000_LONG,GBPUSD,LONG,1.0,1.28648,2024-07-28,1.28643,2024-07-29,False,-5.0000000000105516e-05,-5.0000000000105516e-05,0.0,TRADE,,,
GBPUSD_20240805000000_LONG,GBPUSD,LONG,1.0,1.27855,2024-08-05,1.27852,2024-08-06,False,-2.999999999997449e-05,-2.999999999997449e-05,0.0,TRADE,,,
GBPUSD_20240818000000_LONG,GBPUSD,LONG,1.0,1.29392,2024-08-18,1.29475,2024-08-19,False,0.0008300000000001084,0.0008300000000001084,0.0,TRADE,,,
GBPUSD_20240908000000_LONG,GBPUSD,LONG,1.0,1.31254,2024-09-08,1.30686,2024-09-10,False,-0.005680000000000129,-0.005680000000000129,0.0,TRADE,,,
