epic,resolution,t,datetime,open,high,low,close,spread,volume
GBPUSD,MINUTE,1744272600000,2025-04-10 10:10:00,1.287645,1.287725,1.287195,1.287195,0.00012999999999996348,5299
GBPUSD,MINUTE,1744272660000,2025-04-10 10:11:00,1.287205,1.287475,1.287155,1.2874349999999999,0.00013000000000018552,3199
GBPUSD,MINUTE,1744272720000,2025-04-10 10:12:00,1.287405,1.287445,1.287105,1.287315,0.00012999999999996348,3400
GBPUSD,MINUTE,1744272780000,2025-04-10 10:13:00,1.287305,1.287415,1.287075,1.287345,0.00012999999999996348,3400
GBPUSD,MINUTE,1744272840000,2025-04-10 10:14:00,1.287365,1.287595,1.287175,1.287495,0.00012999999999996348,4200
GBPUSD,MINUTE,1744272900000,2025-04-10 10:15:00,1.287485,1.287485,1.287075,1.287155,0.00012999999999996348,4100
GBPUSD,MINUTE,1744272960000,2025-04-10 10:16:00,1.287175,1.287235,1.286965,1.287075,0.00012999999999996348,2699
GBPUSD,MINUTE,1744273020000,2025-04-10 10:17:00,1.287085,1.287285,1.287045,1.287045,0.00012999999999996348,2400
GBPUSD,MINUTE,1744273080000,2025-04-10 10:18:00,1.287055,1.287145,1.286885,1.286885,0.00012999999999996348,2599
GBPUSD,MINUTE,1744273140000,2025-04-10 10:19:00,1.286875,1.287085,1.286835,1.287075,0.00012999999999996348,2500
GBPUSD,MINUTE,1744272600000,2025-04-10 10:10:00,1.287645,1.287725,1.287195,1.287195,0.00012999999999996348,5299
GBPUSD,MINUTE,1744272660000,2025-04-10 10:11:00,1.287205,1.287475,1.287155,1.2874349999999999,0.00013000000000018552,3199
GBPUSD,MINUTE,1744272720000,2025-04-10 10:12:00,1.287405,1.287445,1.287105,1.287315,0.00012999999999996348,3400
GBPUSD,MINUTE,1744272780000,2025-04-10 10:13:00,1.287305,1.287415,1.287075,1.287345,0.00012999999999996348,3400
GBPUSD,MINUTE,1744272840000,2025-04-10 10:14:00,1.287365,1.287595,1.287175,1.287495,0.00012999999999996348,4200
GBPUSD,MINUTE,1744272900000,2025-04-10 10:15:00,1.287485,1.287485,1.287075,1.287155,0.00012999999999996348,4100
GBPUSD,MINUTE,1744272960000,2025-04-10 10:16:00,1.287175,1.287235,1.286965,1.287075,0.00012999999999996348,2699
GBPUSD,MINUTE,1744273020000,2025-04-10 10:17:00,1.287085,1.287285,1.287045,1.287045,0.00012999999999996348,2400
GBPUSD,MINUTE,1744273080000,2025-04-10 10:18:00,1.287055,1.287145,1.286885,1.286885,0.00012999999999996348,2599
GBPUSD,MINUTE,1744273140000,2025-04-10 10:19:00,1.286875,1.287085,1.286835,1.287075,0.00012999999999996348,2500
GBPUSD,MINUTE,1744273200000,2025-04-10 10:20:00,1.287055,1.287075,1.286915,1.286915,0.00012999999999996348,1599
GBPUSD,MINUTE,1744273260000,2025-04-10 10:21:00,1.286905,1.287175,1.286905,1.287165,0.00013000000000018552,2699
GBPUSD,MINUTE,1744273320000,2025-04-10 10:22:00,1.287175,1.287455,1.287175,1.287305,0.00012999999999996348,2800
GBPUSD,MINUTE,1744273380000,2025-04-10 10:23:00,1.287315,1.287765,1.287295,1.287645,0.00012999999999996348,4699
GBPUSD,MINUTE,1744273440000,2025-04-10 10:24:00,1.287635,1.287665,1.287005,1.287115,0.00012999999999996348,6600
GBPUSD,MINUTE,1744273500000,2025-04-10 10:25:00,1.287165,1.287215,1.287035,1.287125,0.00012999999999996348,1800
GBPUSD,MINUTE,1744273560000,2025-04-10 10:26:00,1.287135,1.287275,1.286955,1.2870650000000001,0.00013000000000018552,3199
GBPUSD,MINUTE,1744273620000,2025-04-10 10:27:00,1.287075,1.287825,1.287075,1.287665,0.00012999999999996348,7500
GBPUSD,MINUTE,1744273680000,2025-04-10 10:28:00,1.287685,1.287865,1.287565,1.2876750000000001,0.00013000000000018552,2999
GBPUSD,MINUTE,1744273740000,2025-04-10 10:29:00,1.287685,1.287765,1.287545,1.287565,0.00012999999999996348,2200
GBPUSD,MINUTE,1744272600000,2025-04-10 10:10:00,1.287645,1.287725,1.287195,1.287195,0.00012999999999996348,5299
GBPUSD,MINUTE,1744272660000,2025-04-10 10:11:00,1.287205,1.287475,1.287155,1.2874349999999999,0.00013000000000018552,3199
GBPUSD,MINUTE,1744272720000,2025-04-10 10:12:00,1.287405,1.287445,1.287105,1.287315,0.00012999999999996348,3400
GBPUSD,MINUTE,1744272780000,2025-04-10 10:13:00,1.287305,1.287415,1.287075,1.287345,0.00012999999999996348,3400
GBPUSD,MINUTE,1744272840000,2025-04-10 10:14:00,1.287365,1.287595,1.287175,1.287495,0.00012999999999996348,4200
GBPUSD,MINUTE,1744272900000,2025-04-10 10:15:00,1.287485,1.287485,1.287075,1.287155,0.00012999999999996348,4100
GBPUSD,MINUTE,1744272960000,2025-04-10 10:16:00,1.287175,1.287235,1.286965,1.287075,0.00012999999999996348,2699
GBPUSD,MINUTE,1744273020000,2025-04-10 10:17:00,1.287085,1.287285,1.287045,1.287045,0.00012999999999996348,2400
GBPUSD,MINUTE,1744273080000,2025-04-10 10:18:00,1.287055,1.287145,1.286885,1.286885,0.00012999999999996348,2599
GBPUSD,MINUTE,1744273140000,2025-04-10 10:19:00,1.286875,1.287085,1.286835,1.287075,0.00012999999999996348,2500
GBPUSD,MINUTE,1744273200000,2025-04-10 10:20:00,1.287055,1.287075,1.286915,1.286915,0.00012999999999996348,1599
GBPUSD,MINUTE,1744273260000,2025-04-10 10:21:00,1.286905,1.287175,1.286905,1.287165,0.00013000000000018552,2699
GBPUSD,MINUTE,1744273320000,2025-04-10 10:22:00,1.287175,1.287455,1.287175,1.287305,0.00012999999999996348,2800
GBPUSD,MINUTE,1744273380000,2025-04-10 10:23:00,1.287315,1.287765,1.287295,1.287645,0.00012999999999996348,4699
GBPUSD,MINUTE,1744273440000,2025-04-10 10:24:00,1.287635,1.287665,1.287005,1.287115,0.00012999999999996348,6600
GBPUSD,MINUTE,1744273500000,2025-04-10 10:25:00,1.287165,1.287215,1.287035,1.287125,0.00012999999999996348,1800
GBPUSD,MINUTE,1744273560000,2025-04-10 10:26:00,1.287135,1.287275,1.286955,1.2870650000000001,0.00013000000000018552,3199
GBPUSD,MINUTE,1744273620000,2025-04-10 10:27:00,1.287075,1.287825,1.287075,1.287665,0.00012999999999996348,7500
GBPUSD,MINUTE,1744273680000,2025-04-10 10:28:00,1.287685,1.287865,1.287565,1.2876750000000001,0.00013000000000018552,2999
GBPUSD,MINUTE,1744273740000,2025-04-10 10:29:00,1.287685,1.287765,1.287545,1.287565,0.00012999999999996348,2200
GBPUSD,MINUTE,1744273800000,2025-04-10 10:30:00,1.287575,1.287575,1.286685,1.2867549999999999,0.00013000000000018552,8899
GBPUSD,MINUTE,1744273860000,2025-04-10 10:31:00,1.286735,1.286875,1.286365,1.286465,0.00012999999999996348,5100
GBPUSD,MINUTE,1744273920000,2025-04-10 10:32:00,1.2864550000000001,1.2864550000000001,1.286065,1.286225,0.00012999999999996348,3900
GBPUSD,MINUTE,1744273980000,2025-04-10 10:33:00,1.2862149999999999,1.286705,1.2862149999999999,1.286555,0.00013000000000018552,4900
GBPUSD,MINUTE,1744274040000,2025-04-10 10:34:00,1.286565,1.286625,1.286365,1.286515,0.00012999999999996348,2599
GBPUSD,MINUTE,1744274100000,2025-04-10 10:35:00,1.286525,1.286615,1.286405,1.2864550000000001,0.00013000000000018552,2100
GBPUSD,MINUTE,1744274160000,2025-04-10 10:36:00,1.286445,1.286665,1.286325,1.286445,0.00012999999999996348,3400
GBPUSD,MINUTE,1744274220000,2025-04-10 10:37:00,1.286435,1.287165,1.286425,1.287165,0.00013000000000018552,7399
GBPUSD,MINUTE,1744274280000,2025-04-10 10:38:00,1.287135,1.287265,1.286875,1.287035,0.00012999999999996348,3900
GBPUSD,MINUTE,1744274340000,2025-04-10 10:39:00,1.287045,1.287075,1.286605,1.2868249999999999,0.00013000000000018552,4699
GBPUSD,MINUTE,1744272600000,2025-04-10 10:10:00,1.287645,1.287725,1.287195,1.287195,0.00012999999999996348,5299
GBPUSD,MINUTE,1744272660000,2025-04-10 10:11:00,1.287205,1.287475,1.287155,1.2874349999999999,0.00013000000000018552,3199
GBPUSD,MINUTE,1744272720000,2025-04-10 10:12:00,1.287405,1.287445,1.287105,1.287315,0.00012999999999996348,3400
GBPUSD,MINUTE,1744272780000,2025-04-10 10:13:00,1.287305,1.287415,1.287075,1.287345,0.00012999999999996348,3400
GBPUSD,MINUTE,1744272840000,2025-04-10 10:14:00,1.287365,1.287595,1.287175,1.287495,0.00012999999999996348,4200
GBPUSD,MINUTE,1744272900000,2025-04-10 10:15:00,1.287485,1.287485,1.287075,1.287155,0.00012999999999996348,4100
GBPUSD,MINUTE,1744272960000,2025-04-10 10:16:00,1.287175,1.287235,1.286965,1.287075,0.00012999999999996348,2699
GBPUSD,MINUTE,1744273020000,2025-04-10 10:17:00,1.287085,1.287285,1.287045,1.287045,0.00012999999999996348,2400
GBPUSD,MINUTE,1744273080000,2025-04-10 10:18:00,1.287055,1.287145,1.286885,1.286885,0.00012999999999996348,2599
GBPUSD,MINUTE,1744273140000,2025-04-10 10:19:00,1.286875,1.287085,1.286835,1.287075,0.00012999999999996348,2500
GBPUSD,MINUTE,1744273200000,2025-04-10 10:20:00,1.287055,1.287075,1.286915,1.286915,0.00012999999999996348,1599
GBPUSD,MINUTE,1744273260000,2025-04-10 10:21:00,1.286905,1.287175,1.286905,1.287165,0.00013000000000018552,2699
GBPUSD,MINUTE,1744273320000,2025-04-10 10:22:00,1.287175,1.287455,1.287175,1.287305,0.00012999999999996348,2800
GBPUSD,MINUTE,1744273380000,2025-04-10 10:23:00,1.287315,1.287765,1.287295,1.287645,0.00012999999999996348,4699
GBPUSD,MINUTE,1744273440000,2025-04-10 10:24:00,1.287635,1.287665,1.287005,1.287115,0.00012999999999996348,6600
GBPUSD,MINUTE,1744273500000,2025-04-10 10:25:00,1.287165,1.287215,1.287035,1.287125,0.00012999999999996348,1800
GBPUSD,MINUTE,1744273560000,2025-04-10 10:26:00,1.287135,1.287275,1.286955,1.2870650000000001,0.00013000000000018552,3199
GBPUSD,MINUTE,1744273620000,2025-04-10 10:27:00,1.287075,1.287825,1.287075,1.287665,0.00012999999999996348,7500
GBPUSD,MINUTE,1744273680000,2025-04-10 10:28:00,1.287685,1.287865,1.287565,1.2876750000000001,0.00013000000000018552,2999
GBPUSD,MINUTE,1744273740000,2025-04-10 10:29:00,1.287685,1.287765,1.287545,1.287565,0.00012999999999996348,2200
GBPUSD,MINUTE,1744273800000,2025-04-10 10:30:00,1.287575,1.287575,1.286685,1.2867549999999999,0.00013000000000018552,8899
GBPUSD,MINUTE,1744273860000,2025-04-10 10:31:00,1.286735,1.286875,1.286365,1.286465,0.00012999999999996348,5100
GBPUSD,MINUTE,1744273920000,2025-04-10 10:32:00,1.2864550000000001,1.2864550000000001,1.286065,1.286225,0.00012999999999996348,3900
GBPUSD,MINUTE,1744273980000,2025-04-10 10:33:00,1.2862149999999999,1.286705,1.2862149999999999,1.286555,0.00013000000000018552,4900
GBPUSD,MINUTE,1744274040000,2025-04-10 10:34:00,1.286565,1.286625,1.286365,1.286515,0.00012999999999996348,2599
GBPUSD,MINUTE,1744274100000,2025-04-10 10:35:00,1.286525,1.286615,1.286405,1.2864550000000001,0.00013000000000018552,2100
GBPUSD,MINUTE,1744274160000,2025-04-10 10:36:00,1.286445,1.286665,1.286325,1.286445,0.00012999999999996348,3400
GBPUSD,MINUTE,1744274220000,2025-04-10 10:37:00,1.286435,1.287165,1.286425,1.287165,0.00013000000000018552,7399
GBPUSD,MINUTE,1744274280000,2025-04-10 10:38:00,1.287135,1.287265,1.286875,1.287035,0.00012999999999996348,3900
GBPUSD,MINUTE,1744274340000,2025-04-10 10:39:00,1.287045,1.287075,1.286605,1.2868249999999999,0.00013000000000018552,4699
GBPUSD,MINUTE,1744274400000,2025-04-10 10:40:00,1.286815,1.286915,1.286605,1.286865,0.00012999999999996348,3100
GBPUSD,MINUTE,1744274460000,2025-04-10 10:41:00,1.286875,1.287055,1.286625,1.286695,0.00012999999999996348,4300
GBPUSD,MINUTE,1744274520000,2025-04-10 10:42:00,1.286655,1.286765,1.286465,1.286595,0.00012999999999996348,2999
GBPUSD,MINUTE,1744274580000,2025-04-10 10:43:00,1.286615,1.2867250000000001,1.286355,1.286565,0.00012999999999996348,3700
GBPUSD,MINUTE,1744274640000,2025-04-10 10:44:00,1.286575,1.286585,1.286265,1.286365,0.00012999999999996348,3200
GBPUSD,MINUTE,1744274700000,2025-04-10 10:45:00,1.286335,1.286375,1.286095,1.286265,0.00012999999999996348,2800
GBPUSD,MINUTE,1744274760000,2025-04-10 10:46:00,1.286255,1.286835,1.2862149999999999,1.286795,0.00012999999999996348,6200
GBPUSD,MINUTE,1744274820000,2025-04-10 10:47:00,1.286765,1.287175,1.286745,1.287085,0.00012999999999996348,4299
GBPUSD,MINUTE,1744274880000,2025-04-10 10:48:00,1.2870949999999999,1.287615,1.2869950000000001,1.287495,0.00012999999999996348,6199
GBPUSD,MINUTE,1744274940000,2025-04-10 10:49:00,1.287505,1.287805,1.287485,1.287765,0.00012999999999996348,3200
