epic,resolution,t,datetime,open,high,low,close,volume
GBPUSD,MINUTE,1744299600000.0,2025-04-10 15:40:00,1.290555,1.290845,1.290405,1.290785,198
GBPUSD,MINUTE,1744299660000.0,2025-04-10 15:41:00,1.290795,1.2910650000000001,1.290685,1.290795,198
GBPUSD,MINUTE,1744299720000.0,2025-04-10 15:42:00,1.290805,1.291155,1.290765,1.291075,151
GBPUSD,MINUTE,1744299780000.0,2025-04-10 15:43:00,1.2910650000000001,1.291245,1.290885,1.291165,160
GBPUSD,MINUTE,1744299840000.0,2025-04-10 15:44:00,1.291175,1.291195,1.290765,1.290885,163
GBPUSD,MINUTE,1744299900000.0,2025-04-10 15:45:00,1.290875,1.291375,1.290855,1.291285,199
GBPUSD,MINUTE,1744299960000.0,2025-04-10 15:46:00,1.291275,1.291595,1.291215,1.291505,166
GBPUSD,MINUTE,1744300020000.0,2025-04-10 15:47:00,1.291495,1.291815,1.291385,1.291815,139
GBPUSD,MINUTE,1744300080000.0,2025-04-10 15:48:00,1.291805,1.291825,1.291565,1.291685,162
GBPUSD,MINUTE,1744300140000.0,2025-04-10 15:49:00,1.291665,1.291885,1.291575,1.291875,155
GBPUSD,MINUTE,1744300200000.0,2025-04-10 15:50:00,1.291855,1.2928950000000001,1.291825,1.2928950000000001,237
GBPUSD,MINUTE,1744300260000.0,2025-04-10 15:51:00,1.292885,1.2928950000000001,1.292365,1.292565,255
GBPUSD,MINUTE,1744300320000.0,2025-04-10 15:52:00,1.292575,1.292605,1.2919749999999999,1.292175,228
GBPUSD,MINUTE,1744300380000.0,2025-04-10 15:53:00,1.292205,1.292305,1.291965,1.292175,170
GBPUSD,MINUTE,1744300440000.0,2025-04-10 15:54:00,1.292185,1.2922150000000001,1.291845,1.2922150000000001,207
GBPUSD,MINUTE,1744300500000.0,2025-04-10 15:55:00,1.292235,1.292435,1.292185,1.292395,176
GBPUSD,MINUTE,1744300560000.0,2025-04-10 15:56:00,1.292405,1.292935,1.292395,1.292875,181
GBPUSD,MINUTE,1744300620000.0,2025-04-10 15:57:00,1.292885,1.292975,1.292505,1.292975,199
GBPUSD,MINUTE,1744300680000.0,2025-04-10 15:58:00,1.292965,1.293185,1.292665,1.292785,193
GBPUSD,MINUTE,1744300740000.0,2025-04-10 15:59:00,1.292805,1.292805,1.292265,1.292385,256
GBPUSD,MINUTE,1744300800000.0,2025-04-10 16:00:00,1.292365,1.292415,1.292005,1.292325,278
GBPUSD,MINUTE,1744300860000.0,2025-04-10 16:01:00,1.2923149999999999,1.292405,1.292095,1.292385,215
GBPUSD,MINUTE,1744300920000.0,2025-04-10 16:02:00,1.292405,1.292785,1.292345,1.292755,198
GBPUSD,MINUTE,1744300980000.0,2025-04-10 16:03:00,1.292765,1.292775,1.292445,1.292745,216
GBPUSD,MINUTE,1744301040000.0,2025-04-10 16:04:00,1.292735,1.292745,1.292275,1.292595,196
GBPUSD,MINUTE,1744301100000.0,2025-04-10 16:05:00,1.292605,1.292665,1.292145,1.292145,178
GBPUSD,MINUTE,1744301160000.0,2025-04-10 16:06:00,1.292135,1.292475,1.2919749999999999,1.292475,253
GBPUSD,MINUTE,1744301220000.0,2025-04-10 16:07:00,1.292495,1.292615,1.292185,1.292325,198
GBPUSD,MINUTE,1744301280000.0,2025-04-10 16:08:00,1.2923149999999999,1.292385,1.292155,1.292195,183
GBPUSD,MINUTE,1744301340000.0,2025-04-10 16:09:00,1.292185,1.292395,1.291985,1.292365,182
GBPUSD,MINUTE,1744301400000.0,2025-04-10 16:10:00,1.292355,1.292355,1.291885,1.292105,197
GBPUSD,MINUTE,1744301460000.0,2025-04-10 16:11:00,1.292095,1.292335,1.2919450000000001,1.291995,196
GBPUSD,MINUTE,1744301520000.0,2025-04-10 16:12:00,1.291985,1.292155,1.2910650000000001,1.2910650000000001,200
GBPUSD,MINUTE,1744301580000.0,2025-04-10 16:13:00,1.291075,1.291785,1.291055,1.291785,235
GBPUSD,MINUTE,1744301640000.0,2025-04-10 16:14:00,1.291805,1.291845,1.291015,1.291075,199
