epic,resolution,t,datetime,o,h,l,c,spread
GBPUSD,MINUTE,1744206660000,2025-04-09 15:51:00,1.277705,1.277705,1.277215,1.277455,0.00012999999999996348
GBPUSD,MINUTE,1744206720000,2025-04-09 15:52:00,1.277475,1.278075,1.277185,1.277925,0.00012999999999996348
GBPUSD,MINUTE,1744206780000,2025-04-09 15:53:00,1.277935,1.278165,1.277635,1.2778450000000001,0.00013000000000018552
GBPUSD,MINUTE,1744206840000,2025-04-09 15:54:00,1.277835,1.277995,1.277585,1.277995,0.00012999999999996348
GBPUSD,MINUTE,1744206900000,2025-04-09 15:55:00,1.277985,1.278375,1.277965,1.278275,0.00012999999999996348
GBPUSD,MINUTE,1744206960000,2025-04-09 15:56:00,1.278285,1.278655,1.277955,1.278635,0.00012999999999996348
GBPUSD,MINUTE,1744207020000,2025-04-09 15:57:00,1.278605,1.278625,1.278315,1.278415,0.00012999999999996348
GBPUSD,MINUTE,1744207080000,2025-04-09 15:58:00,1.278395,1.278465,1.278265,1.278395,0.00012999999999996348
GBPUSD,MINUTE,1744207140000,2025-04-09 15:59:00,1.278385,1.278525,1.277655,1.277695,0.00012999999999996348
GBPUSD,MINUTE,1744207200000,2025-04-09 16:00:00,1.277685,1.277915,1.276305,1.276305,0.00012999999999996348
GBPUSD,MINUTE,1744206660000,2025-04-09 15:51:00,1.277705,1.277705,1.277215,1.277455,0.00012999999999996348
GBPUSD,MINUTE,1744206720000,2025-04-09 15:52:00,1.277475,1.278075,1.277185,1.277925,0.00012999999999996348
GBPUSD,MINUTE,1744206780000,2025-04-09 15:53:00,1.277935,1.278165,1.277635,1.2778450000000001,0.00013000000000018552
GBPUSD,MINUTE,1744206840000,2025-04-09 15:54:00,1.277835,1.277995,1.277585,1.277995,0.00012999999999996348
GBPUSD,MINUTE,1744206900000,2025-04-09 15:55:00,1.277985,1.278375,1.277965,1.278275,0.00012999999999996348
GBPUSD,MINUTE,1744206960000,2025-04-09 15:56:00,1.278285,1.278655,1.277955,1.278635,0.00012999999999996348
GBPUSD,MINUTE,1744207020000,2025-04-09 15:57:00,1.278605,1.278625,1.278315,1.278415,0.00012999999999996348
GBPUSD,MINUTE,1744207080000,2025-04-09 15:58:00,1.278395,1.278465,1.278265,1.278395,0.00012999999999996348
GBPUSD,MINUTE,1744207140000,2025-04-09 15:59:00,1.278385,1.278525,1.277655,1.277695,0.00012999999999996348
GBPUSD,MINUTE,1744207200000,2025-04-09 16:00:00,1.277685,1.277915,1.276305,1.276305,0.00012999999999996348
